City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
474,Tecoanapa,MX,75.87,overcast clouds,16.5167,-98.75,Hotel Manglares
475,Akot,IN,84.25,overcast clouds,21.0964,77.0586,Shri PRASAD
478,Sagua De Tanamo,CU,76.73,overcast clouds,20.5819,-75.2414,
479,Beidao,CN,84.31,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
480,Tivaouane,SN,77.34,light rain,14.9515,-16.8129,SOUNOU KEUR
487,Fort Nelson,CA,76.59,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
490,Sakaiminato,JP,82.33,broken clouds,35.55,133.2333,Italian pasley
495,Makaha,US,85.91,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
496,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
498,Kulhudhuffushi,MV,82.58,overcast clouds,6.6221,73.07,Haajy Guest House 1
502,Karratha,AU,77.83,clear sky,-20.7377,116.8463,ibis Styles Karratha
503,Yala,TH,86.95,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
504,Vanimo,PG,85.23,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
505,Dafeng,CN,85.33,overcast clouds,23.4517,108.5881,Shenglong Hotel
508,Krasnokamensk,RU,79.7,overcast clouds,50.0979,118.0369,Tsentral'naya
515,Wenling,CN,75.2,moderate rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
517,Orange Cove,US,83.86,clear sky,36.6244,-119.3137,
519,Atar,MR,78.57,moderate rain,20.5169,-13.0499,Oumou Elghoura
520,Amurzet,RU,75.79,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
523,Nagapattinam,IN,86.31,overcast clouds,10.7667,79.8333,Sathya Lodge
524,Vaitape,PF,79.48,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
527,Sabang,ID,82.2,broken clouds,5.8933,95.3214,Hotel Citra
529,Tabou,CI,76.59,broken clouds,4.423,-7.3528,hotêl doufoulougou
533,Ewa Beach,US,85.95,clear sky,21.3156,-158.0072,Base Lodging
541,Hami,CN,87.46,overcast clouds,42.8,93.45,Laoyutang Resort
545,Yanam,IN,88.11,light rain,16.7333,82.2167,The Regency Hotel
546,Port Hueneme,US,76.57,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
552,San,ML,84.58,clear sky,13.3034,-4.8956,Hôtel Teriya
554,Aksu,CN,75.63,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
557,Black River,JM,76.84,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
559,Soe,ID,78.48,clear sky,-9.8607,124.284,Dena Hotel
561,Oarai,JP,86.34,overcast clouds,36.3167,140.6,Oarai Hotel
564,Lengshuitan,CN,76.01,overcast clouds,26.4111,111.5956,Jialong Hotel
568,Kumluca,TR,75.34,clear sky,36.3703,30.2869,Akkol Apart
573,Seoul,KR,83.59,broken clouds,37.5683,126.9778,롯데호텔 서울
574,Asifabad,IN,84.92,overcast clouds,19.3667,79.2833,సిడం కైలాష్
575,Muli,MV,83.19,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
578,Koutiala,ML,78.42,few clouds,12.3917,-5.4642,Hotel La Chaumiere
579,Awbari,LY,80.62,clear sky,26.5921,12.7805,فندق أوباري
581,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
582,Salalah,OM,80.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
589,Dongsheng,CN,76.62,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
592,Gigmoto,PH,87.44,broken clouds,13.7796,124.39,Cj's Travellers Inn
594,Languyan,PH,86.31,overcast clouds,5.2618,120.0807,
595,Dicabisagan,PH,89.31,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
600,Jiazi,CN,83.64,overcast clouds,22.8779,116.067,Hotel Jin Hao
